,frequency,number_of_skips,skip_variance,skip_average,word_1_frequency,word_2_frequency,symmetric,chi,pmi,fisher,ll,label
157168,140,13,3.978469387755103,4.385714285714286,11715.0,2944808.0,True,97.58881507150585,1.1690450846893867,1.0,71.93190506205184,0.0
206532,201,13,1.1912576421375711,1.27363184079602,325.0,5848208.0,False,11500.910905152112,5.8727661351447225,1.0,1400.0972312400336,1.0
243537,197,14,3.25834213713314,3.5076142131979697,3249551.0,7921.0,True,490.783459282603,2.0843495426466205,1.0,271.0457097231726,0.0
391494,424,21,3.844478684585263,4.044811320754717,15398034.0,5745.0,True,450.23503283320656,1.4091599964270642,1.0,312.3050582775793,1.0
52585,188,19,4.5424966047985516,5.053191489361702,6600704.0,7151.0,True,125.58756745554156,1.1420446355939546,1.0,93.52042820356216,0.0
395337,22691,59,5.361941770828619,5.375919968269359,4902816.0,635304.0,True,52356.48984814317,2.0131393494595784,0.9999998650644549,29713.83622993475,1.0
278161,1629,21,3.5509249367190185,3.5972989564149787,15398034.0,4401.0,True,19092.75580686349,3.7354859515283034,1.0,6029.360797980114,1.0
291586,759,21,3.4934774797294144,3.5928853754940717,4243.0,5848208.0,True,11512.392567161864,4.083097464006336,1.0,2996.927069118189,1.0
156968,1083,31,6.399599621106519,6.588180978762696,2944808.0,6993.0,True,29587.93199171391,4.864953139253224,0.9999992666643563,5378.511313365028,1.0
119869,4467,35,6.082922853556472,6.1309603760913385,5848208.0,72378.0,True,18144.85633844147,2.547837268942196,1.0,8568.73470605931,1.0
207223,110,14,3.4988429752066117,4.009090909090909,2709341.0,8173.0,True,123.34909704205805,1.460772686162386,0.9999985439293072,83.28905221561645,0.0
207748,123,17,3.5592570559851944,4.130081300813009,15398034.0,1231.0,True,237.05468816546212,1.8462301782521209,1.0,143.98285613462886,1.0
328882,596,22,5.149931309400478,5.347315436241611,91365.0,4073811.0,True,8.601401420873469,-0.17255953820377812,0.001520213102287313,8.94157961401126,0.0
481693,168,12,2.0727040816326534,2.232142857142857,15971.0,2334344.0,True,151.40485937278098,1.320138192017545,0.9999989648246544,106.66721339318623,0.0
228220,155,17,5.037502601456816,5.658064516129032,43034.0,725704.0,True,172.86762985669475,1.4594869295246935,1.0,116.571104726847,0.0
138441,12797,35,1.0133184798546528,1.0160975228569196,574499.0,2944808.0,True,31294.12145742484,2.0674045639009435,1.0,17388.60897603161,1.0
224084,4396,40,5.684831358808278,5.737033666969973,5848208.0,102503.0,True,10262.661037204149,2.0226794140605198,1.0,5809.623397317877,1.0
387835,103,15,3.41747572815534,4.0,281758.0,107554.0,True,42.70234240036388,0.913275369127085,0.9999990290709576,33.81657345749097,0.0
288254,326,22,4.161993300462944,4.46319018404908,18273.0,2602765.0,True,675.1941774064237,1.925262181341317,0.9999998405802488,392.9619521718114,0.0
7103,554,25,5.608589972500621,5.873646209386282,2944808.0,311628.0,True,737.8195296054765,-1.5798917733035438,1.900952410828523e-218,995.2986341841997,0.0
471806,590,29,6.684941108876755,7.030508474576272,7520.0,6600704.0,True,2829.160886140304,2.71943926957497,1.0,1257.9532575993594,0.0
404269,854,27,5.117467599778421,5.284543325526932,15398034.0,6355.0,True,2672.651489514717,2.2737465691255068,1.0,1414.2534808723108,1.0
487770,453,18,2.9274300834758713,3.048565121412804,3370.0,772551.0,False,42833.20684190709,6.591137258731212,0.999999923070729,3305.398350424889,1.0
201696,269,19,4.3739030693329255,4.70631970260223,8826.0,20983938.0,True,13.236592347507653,-0.3132902387567427,9.819475687687876e-05,14.15570353102575,0.0
307845,162,18,5.289437585733884,5.950617283950617,1245.0,15398034.0,True,482.5586873941558,2.227250695326525,0.9999985044606572,259.2983473831061,1.0
65086,872,14,0.8914180203686558,0.9059633027522936,3810.0,5848208.0,True,17389.1017761744,4.4386193942778505,1.0,3900.913037547859,1.0
17990,3318,26,2.156865160207114,2.173899939722725,127531.0,5848208.0,True,2920.5580558634992,1.3016200710406949,1.0,2074.774463291873,1.0
75883,382,17,2.4887955374030324,2.6047120418848166,2206019.0,12418.0,True,2246.0123169539124,2.9498433706768523,1.0,906.0840338893984,0.0
238291,273,20,4.036240926350817,4.355311355311355,1564.0,8343804.0,True,2682.5125784587144,3.535032050588676,1.0,881.742333164821,0.0
43001,473,15,3.7523700548431362,3.8752642706131075,15398034.0,804.0,False,9349.769263348968,4.403975401557801,1.0,2318.9206921208565,1.0
389460,103,19,4.790272410217738,5.873786407766991,5848208.0,414.0,False,2250.07181190144,4.559023921565501,0.9999986629114368,479.63933209339433,0.0
69437,140,18,3.778265306122449,4.335714285714285,15398034.0,669.0,False,815.5290132461519,2.9127513357008468,1.0,346.7147575428238,1.0
392356,576,21,2.6581036603009243,2.758680555555556,5991.0,20983938.0,True,558.3692373836673,1.3441353139398018,1.0,396.65250248978583,0.0
105346,1814,25,3.775248009783033,3.8280044101433295,12083.0,5848208.0,True,22540.660498521065,3.8302780174871103,1.0,6509.6421021092065,1.0
397928,103,6,0.3748703930624941,0.3980582524271845,55816.0,276010.0,False,203.49994944543926,1.8893219417764942,1.0,119.50139147096388,0.0
104747,1217,30,3.5936449463874225,3.6844700082169273,356631.0,192475.0,True,9655.191167194991,3.2963028640681027,1.0,3384.602407342826,1.0
141721,116,12,5.162901307966706,5.758620689655173,948.0,8343804.0,False,735.9697502329692,3.0225374532054867,0.99999786281362,294.1147798476827,1.0
347731,108,11,3.1850994513031545,3.5462962962962963,15398034.0,670.0,False,441.3483027383405,2.536200936215671,1.0,213.82523562001256,1.0
214595,578,25,6.687300199949707,6.989619377162629,4516.0,15398034.0,True,1678.2527874467673,2.2034266311250192,0.9999990832634219,908.8907398848352,1.0
94668,229,21,5.299059895882993,5.834061135371178,605304.0,99697.0,True,132.58719591859176,1.0722145014064068,1.0,100.37495226964458,0.0
497726,227,19,5.4937607948921965,5.995594713656387,1681404.0,8872.0,True,1491.4938005216968,3.075843402417547,1.0,572.3614327271349,1.0
200058,797,28,3.1234129239352706,3.2371392722710164,34461.0,5848208.0,True,521.6985067096296,1.131769319579604,1.0,389.458236921251,1.0
502875,170,15,6.4949826989619375,7.123529411764705,1363.0,15398034.0,True,474.05326563376633,2.166151808729829,0.9999992839859019,259.8862675598522,1.0
