,frequency,number_of_skips,skip_variance,skip_average,word_1_frequency,word_2_frequency,symmetric,chi,pmi,fisher,ll,label
86955,253,16,3.532284522489027,3.770750988142293,1416442.0,6945.0,True,3125.2264762825203,3.8329680435270888,0.9999998771094296,881.9732686914725,1.0
121904,116,14,3.4035374554102247,3.8706896551724137,10217.0,787297.0,True,710.4607273438098,2.998322062842618,0.9999985315755341,280.2202637906747,0.0
46890,178,22,4.820224719101123,5.5,20186.0,1854176.0,True,181.2201699245741,1.3978927760416795,1.0,124.65463508629783,1.0
147815,3780,19,1.2408215055569551,1.247089947089947,133420.0,75018.0,False,783770.3137386818,7.7091794627790335,1.0,33172.768465035966,1.0
67268,360,11,0.7540123456790124,0.7777777777777778,347713.0,64079.0,True,2545.0796620744777,3.1623251473526324,1.0,940.5254053448152,1.0
72583,183,14,2.4576129475350106,2.6612021857923502,6543.0,1173186.0,True,2069.652802822521,3.723536498374763,0.9999996084791524,610.7823953626363,0.0
189393,310,18,3.0020395421435984,3.1870967741935483,423768.0,50402.0,True,1913.2645261573975,3.0075894642771246,1.0,751.2485197335507,0.0
147525,533,18,3.10716008011574,3.2157598499061915,1854176.0,3638.0,True,22357.307400467074,5.452288678401487,0.999998972119952,3065.839840973255,1.0
59710,115,20,6.084310018903594,7.3652173913043475,21164.0,25959.0,True,13110.356275972483,6.85779170544016,1.0,866.3953606573383,1.0
4487,211,18,5.592192448507447,6.113744075829384,1306008.0,10482.0,False,1408.0887277852735,3.0943140365025097,0.9999991134549148,535.8891063248267,1.0
4158,105,15,3.86938775510204,4.514285714285714,13798.0,289.0,False,1531810.3526505774,13.832721834953315,0.999998852192962,1848.1650242714813,0.0
18854,212,13,4.587130651477397,4.886792452830188,3020.0,2440683.0,True,2981.0923760795868,3.9943076683409733,1.0,789.9558267955196,1.0
28834,482,18,2.4545720631531815,2.549792531120332,7740.0,1854176.0,False,8058.950879019485,4.217998268491989,1.0,1933.8684998718875,1.0
39695,180,18,4.36,4.844444444444443,2440683.0,7229.0,False,692.4241095066748,2.498992769164886,0.9999991828372256,330.3452857380033,1.0
58391,1131,26,5.377450532028419,5.503978779840849,47200.0,477035.0,True,29285.406581039126,4.7987219248927735,0.999999214887792,5371.084769365197,0.0
22980,122,13,2.563155065842514,2.8688524590163933,71194.0,13369.0,False,8423.95651742394,6.150238906762812,1.0,800.9014682004074,0.0
69130,177,19,4.750742123910752,5.322033898305085,8133.0,1416442.0,True,1176.7204539559993,3.0897670992256607,0.9999987456028026,448.77418157592,0.0
207404,157,22,5.827416933749848,6.777070063694267,11660.0,1854176.0,True,357.9633976302876,2.0085673640975656,1.0,202.40574175021146,1.0
116516,122,16,3.1122010212308524,3.581967213114754,320773.0,11850.0,False,1933.6843058723111,4.152518256555144,1.0,473.191246318066,0.0
59140,664,20,2.2903178980984187,2.3614457831325297,34687.0,883216.0,True,6712.687028928313,3.586098744055868,1.0,2094.764139832234,1.0
160343,104,7,1.264515532544379,1.3557692307692308,45614.0,91605.0,False,1234.1407260167084,3.785685468992316,1.0,353.1875114066445,1.0
65249,250,20,4.4344,4.82,1416442.0,7433.0,True,2815.554736373329,3.7177888396852263,1.0,833.8001968430387,1.0
126330,12069,38,4.573424554606022,4.587869748943574,1854176.0,317102.0,True,114643.99082839047,3.507657855484247,1.0,37125.1818317689,1.0
180011,1657,21,2.0104040975375943,2.0362100181050087,56414.0,1173186.0,True,19836.34383333239,3.7941654891499113,0.9999996341109488,5684.829863009381,1.0
81314,113,17,3.9996867413266513,4.707964601769913,2440683.0,2263.0,False,1069.6861209354083,3.5028781411385097,1.0,347.45581365800246,1.0
59355,132,19,3.8587580348943993,4.507575757575758,162509.0,40691.0,True,1208.404388451078,3.467385455544033,1.0,394.81137046638094,0.0
27641,134,15,2.1008576520383158,2.3656716417910446,3535.0,1854176.0,True,1266.0258386805813,3.5018214740548146,1.0,410.46296748565584,1.0
199948,392,9,1.256195335276968,1.2857142857142858,1076.0,1253356.0,False,62495.515273718695,7.331456204945611,0.9999969503750491,3367.563927660639,0.0
61957,167,14,3.522033776757862,3.844311377245509,362868.0,11177.0,False,3485.873753694088,4.5119471382426015,0.9999997499652522,727.5692852998084,0.0
169909,342,20,2.9291747888239126,3.111111111111111,1133416.0,35047.0,True,1021.3944733549872,2.2541766815042763,1.0,530.2704746429262,0.0
79342,131,19,4.307441291300041,5.038167938931298,1854176.0,2419.0,False,1872.4112879775455,4.016454730851328,0.9999989136717304,489.9788218840876,1.0
39793,117,14,3.3483088611293725,3.8034188034188032,1854176.0,124004.0,True,214.70763894687758,-1.8264356299708524,2.967634236988439e-67,300.42825115558344,1.0
163026,298,15,2.2976780325210564,2.4194630872483223,796186.0,161956.0,True,18.347103585711256,0.3567536962027376,0.9999816246204202,16.84048427804683,1.0
107211,144,15,3.5584490740740735,3.9722222222222223,1854176.0,686.0,False,8776.817095025133,5.971087018563306,1.0,940.2278458198573,1.0
88468,131,19,4.535866208262923,5.30534351145038,883216.0,2493.0,False,4067.067637243624,5.042922596900379,1.0,668.379448924948,0.0
102394,146,13,2.4084255957965843,2.643835616438356,14136.0,150780.0,False,5254.872024740299,5.2462262277895375,1.0,779.0929191299159,1.0
99658,225,12,4.29997037037037,4.542222222222223,25636.0,11956.0,False,91077.09739616484,8.668023999970256,0.9999991856885392,2261.0149430863503,0.0
24518,107,14,2.7130753777622503,3.1214953271028034,554869.0,17184.0,True,469.0290793412285,2.6364745756799195,1.0,211.97816438211487,0.0
143309,626,21,2.141327869019793,2.2156549520766773,41043.0,477035.0,True,9882.999829915309,4.147008230168268,1.0,2426.8083566504088,0.0
174140,123,9,1.7180249851279004,1.8536585365853657,163925.0,6518.0,False,7604.109205115125,5.995198044252233,0.9999985310799122,782.4761061596935,0.0
158052,268,19,4.045764646914681,4.354477611940299,1854176.0,3517.0,False,5597.419179226433,4.509186354126272,0.9999975913899216,1182.0614794280514,1.0
190204,389,17,2.2075984166110456,2.308483290488432,1035602.0,2008.0,True,39620.96523520956,6.695618110112271,1.0,2919.696741607149,0.0
87060,110,16,5.049586776859504,5.909090909090909,8070.0,1173186.0,True,506.3298324309457,2.686579970812147,1.0,224.93939561033832,0.0
117568,423,24,6.558238183860638,6.952718676122933,1991560.0,10374.0,True,4004.5247021503187,3.5039352297553563,0.999999300872769,1297.9395694546586,1.0
141817,464,15,1.9395158293697987,2.0043103448275863,413312.0,37454.0,True,6811.826656571032,4.053850631530835,1.0,1741.037368145027,0.0
173600,523,16,1.749752311455092,1.8049713193116637,1035602.0,3850.0,True,37044.25631363974,6.183559724854168,1.0,3524.485299646876,0.0
169209,104,14,3.4948224852071,4.038461538461538,15906.0,64079.0,True,5674.6792510055775,5.821165794350147,1.0,635.7638503060541,1.0
40524,396,16,1.9991582491582485,2.083333333333333,1173186.0,12634.0,True,5108.027826370842,3.8879059786518297,1.0,1406.8916287887741,0.0
20206,160,14,2.190000000000001,2.4,163925.0,13493.0,False,6099.149735540534,5.3249017418182545,1.0,871.0444201946398,0.0
55318,305,22,4.3320827734480005,4.668852459016393,1306008.0,11744.0,True,2784.979738824455,3.461870421040274,0.9999985020788292,915.7836320749727,1.0
85294,1031,27,4.357123168206544,4.474296799224054,883216.0,98869.0,True,4849.142957237125,2.70976476034577,0.9999991809509009,2134.7873976174697,1.0
3634,119,13,3.226184591483652,3.6218487394957983,3934.0,1854176.0,True,853.742819518854,3.1762633043232142,1.0,315.20255210801366,1.0
122628,487,15,1.7990884137471586,1.8562628336755649,7074.0,1854176.0,True,9099.384379916692,4.3626942416752215,1.0,2049.963326939269,1.0
129708,119,10,2.378433726431749,2.596638655462185,18302.0,12244.0,False,34779.869839603365,8.200890287698638,1.0,1117.6244299883224,0.0
187674,285,9,0.9956048014773778,1.0280701754385966,8049.0,1741691.0,False,2674.192086535401,3.4937405520515132,1.0,869.4926065844113,0.0
89761,3174,30,3.6813190347375873,3.716446124763705,1854176.0,222214.0,True,7973.619930321842,2.09372300895118,1.0,4381.735348647939,1.0
30997,315,22,4.689181153943056,5.04126984126984,5462.0,2440683.0,True,3533.9279439749757,3.710714467612206,1.0,1054.408600227105,1.0
123284,158,13,1.5101746514981575,1.6455696202531649,106667.0,105553.0,False,933.2538701014087,2.9589918482751614,0.9999996286368976,373.11776709166946,1.0
87067,166,14,2.65321527072144,2.897590361445783,20444.0,463021.0,False,1299.2324256311854,3.2805049984463888,0.9999987485728712,458.2290528955383,1.0
155218,141,20,4.169055882500881,4.858156028368795,6805.0,883216.0,False,1564.2310362970404,3.700338668861868,0.9999987608134944,465.51837544420135,0.0
